run,data_seed,mse,rmse,coverage,coverage_percent,mean_width,median_width,low_kf_mse,low_kf_rmse,low_enbpi_coverage,low_enbpi_mean_width,low_mean_beta,high_kf_mse,high_kf_rmse,high_enbpi_coverage,high_enbpi_mean_width,high_mean_beta,mean_beta,mean_bias_correction,low_mean_bias_correction,high_mean_bias_correction,mean_oob_models_per_train_point,min_oob_models_per_train_point,ann_selected_max_iter_mean,ann_rolling_validation_mse,ann_nonconverged_models,elapsed_seconds,low_true_mse,low_true_rmse,low_true_coverage,high_true_mse,high_true_rmse,high_true_coverage
11,2056590929,5.13076263543937,2.2651186802106795,0.945,94.5,7.949251630438934,7.945878243164042,0.34464581803179295,0.5870654290892906,0.905,1.9115013533167167,0.029867499999999998,3.121989159599153,1.766915153480538,0.945,6.543685604130876,0.0254725,0.030587500000000007,-0.05977148469331908,0.0,0.0,10.49763779527559,4.0,125.0,3.7213881729108667,30.0,91.7685591999907,4.423634540717028,2.1032438139019995,0.32,9.466034365335684,3.07669211416022,0.765
12,3339987600,3.9908859412826403,1.9977201859326146,0.95,95.0,7.824657933612247,7.830101972071306,0.23065942788332627,0.48027016135017825,0.96,1.905706309327625,0.021505000000000007,2.6072897743607175,1.6147104304985205,0.955,6.255308149480079,0.021295,0.025315000000000004,-0.037215105724046335,0.0,0.0,10.49763779527559,4.0,125.0,3.319883767956399,30.0,91.99117959989235,3.0428941942339325,1.7443893470879523,0.41,5.100455049289268,2.258418705486046,0.83
13,1788010607,3.569309474860771,1.8892616216026756,0.935,93.5,7.29573515205739,7.258211613626671,0.2353400997894746,0.4851186450647662,0.93,1.784098152792747,0.03185,2.256379100823167,1.5021248619283176,0.935,5.748509146428257,0.027635000000000007,0.0312925,0.023548405743328563,0.0,0.0,10.49763779527559,4.0,125.0,3.144780878684089,30.0,87.53102090000175,3.6480407437526,1.9099844878303593,0.375,5.93281830198667,2.4357377325949257,0.75
14,2859898362,2.931319592505886,1.7121096905589566,0.97,97.0,7.308211242018257,7.31404242008011,0.16170464130224488,0.40212515626636053,0.975,1.7509970954653082,0.028764999999999995,1.9683784767222618,1.4029891220969113,0.965,5.984648961603393,0.022704999999999996,0.0346775,0.10248437758687508,0.0,0.0,10.49763779527559,4.0,125.0,3.0654287421478483,30.0,87.12731909996364,2.318460446443392,1.5226491540875042,0.455,2.937055002272609,1.7137838260039127,0.91
15,1908601667,3.441957423566628,1.8552513100835228,0.97,97.0,7.603780662592109,7.6125533842297095,0.19083483948383417,0.43684647129607695,0.95,1.7917032461003857,0.021295,2.2362116822972338,1.4953968310442662,0.96,6.266332354223909,0.0218525,0.0231375,0.018096242196349265,0.0,0.0,10.49763779527559,4.0,125.0,3.6031750103030165,30.0,87.84605509997346,3.3152746087907348,1.8207895564262047,0.31,4.096773900118321,2.024048887778732,0.88
16,726301638,3.994628252659289,1.9986566119919873,0.945,94.5,7.362525529651422,7.332267342232598,0.23942247434159292,0.4893081588749496,0.915,1.774707848759694,0.0336875,2.5218329382100277,1.5880280029678406,0.945,5.933583590393189,0.022507499999999996,0.023635000000000003,0.04425133825015273,0.0,0.0,10.49763779527559,4.0,125.0,2.923522611095271,30.0,85.2224463999737,5.993698234734193,2.4482030623978464,0.265,8.522281144047803,2.9192946312504673,0.735
17,2584016318,4.391073996073316,2.09548896348163,0.95,95.0,8.108424943935162,8.092599628811364,0.27765202241372117,0.5269269611755705,0.94,1.8662263406322375,0.03270750000000001,2.809127831830431,1.6760452952800622,0.955,6.557017061331411,0.01795,0.0266375,-0.06007360953546532,0.0,0.0,10.49763779527559,4.0,125.0,4.679486647997668,30.0,78.58472420007456,6.078837001142374,2.4655297607496798,0.215,8.762150068352218,2.960092915493062,0.725
18,4074852312,3.3372931832131907,1.8268259860241727,0.96,96.0,7.428983282437005,7.4089751635859,0.17167111353232745,0.41433212949556236,0.985,1.7576172554825313,0.0277175,2.216885111113915,1.4889207873872656,0.95,6.050651376284884,0.025745000000000004,0.025072500000000005,-0.021880019405379526,0.0,0.0,10.49763779527559,4.0,125.0,3.3290449772164994,30.0,79.03540789999533,3.2289510341935217,1.7969282217700075,0.325,4.595559417519849,2.1437255928686043,0.84
19,3205241267,3.7181654591260314,1.9282545109829334,0.945,94.5,7.592771385840264,7.546517943767045,0.22051051121541562,0.4695854674235731,0.95,1.8367466860471218,0.029762500000000004,2.389206494120651,1.5457058239266135,0.96,6.259159607732559,0.0240375,0.025127500000000004,0.04441335948709843,0.0,0.0,10.49763779527559,4.0,125.0,3.3182718715188892,30.0,77.61865459999535,3.261084853262605,1.8058474058631324,0.395,4.957534888026189,2.2265522423752353,0.86
20,1304481603,3.603578002093874,1.89830924827697,0.95,95.0,7.286291572434559,7.304257574009803,0.17630403448548612,0.4198857397977289,0.94,1.6531036071458687,0.027065000000000006,2.4040899053429925,1.5505127878682563,0.945,6.078588013832971,0.029777500000000002,0.029865000000000003,-0.06247463081373516,0.0,0.0,10.49763779527559,4.0,125.0,2.928637988449503,30.0,79.01979900000151,4.231430834681629,2.057044198524093,0.245,5.966054348803688,2.442550787354009,0.735
