run,data_seed,final_mean_residual,low_mean_residual,high_mean_residual,final_fitted_residual_slope,final_fitted_residual_corr,low_branch_residual_slope,low_branch_residual_corr,high_branch_residual_slope,high_branch_residual_corr,final_residual_by_low_slope,final_residual_by_low_corr,final_residual_by_high_slope,final_residual_by_high_corr,opposite_branch_slope_signs,opposite_final_component_slope_signs,component_error_corr,low_error_mse,high_error_mse,component_error_cross_term,component_error_cross_term_share,combined_oob_mse,high_abs_error_by_abs_kf_low_corr,high_squared_error_by_abs_kf_low_corr,high_oob_mse_extreme_to_calm_low_state_ratio,true_innovation_squared_by_abs_true_low_corr,true_innovation_mse_extreme_to_calm_low_state_ratio,cov_low_fit_low_error,cov_low_fit_high_error,cov_high_fit_low_error,cov_high_fit_high_error,fitted_residual_cov_total,covariance_cancellation_fraction,residual_identity_max_abs_error
11,2056590929,-0.003492566478408746,-0.006400074484877487,0.0029075080064687297,-0.09963422582156835,-0.05166593214864266,0.11532907717885794,0.24247465786568043,-0.3964393790184632,-0.2273306660030725,0.13608809207504366,0.06610703359047745,-0.2720934599104336,-0.12659962433147237,True,True,0.7687960223833368,0.21946255445155724,2.7061188286564226,1.1847860090447224,0.28824333593796353,4.110367392152702,0.046090565942451554,0.05160967059003979,1.1664016430664736,0.23042369908295446,2.5495768202039617,0.11185959900629387,0.020134515413244954,0.11064696790279564,-0.352764413664039,-0.11012333134170454,0.8150448188939378,8.881784197001252e-16
12,3339987600,-0.040517978387606735,-0.003195661642618509,-0.03732231674498824,0.11532543911305561,0.07683968652983851,0.09777971044879594,0.23953106632237564,-0.19616213143926073,-0.13825393257666843,0.15559635546472625,0.0944258488449686,-0.019180293433540937,-0.010822388177912323,True,True,0.7505225887293506,0.24539776954717868,2.564146610543726,1.1905852137700077,0.29763666047150705,4.000129593860912,0.03452725735798193,0.031758429783466484,1.1499702191601817,0.327374968573523,4.2622176472281454,0.14398839351111942,0.08513960407364846,0.22529948867785687,-0.24971617658189124,0.2047113096807335,0.709276216654759,8.881784197001252e-16
13,1788010607,0.0016405732506956897,0.004170362495767028,-0.0025297892450713323,0.006200860191676753,0.0041280399293788924,0.10375562816416257,0.2474897261568968,-0.26481460221563696,-0.17755619593009206,0.09285371396402071,0.05345090971788021,-0.09528675057073824,-0.051672061269763245,True,True,0.7368461016447335,0.21172551227571434,2.37780807026709,1.0455735629216036,0.28763211676612765,3.635107145464408,0.023015779357960908,0.010711743378508937,0.9820009790851205,0.19937876498516474,2.297320396646561,0.1249799085254237,-0.013132012822764322,0.18121931815121772,-0.2830775072318196,0.009989706622057504,0.9834170624575699,8.881784197001252e-16
14,2859898362,0.007460192996264826,-0.0022196091922214094,0.009679802188486209,0.06484120436133364,0.048884460001299736,0.08070840013952339,0.23570215634517136,-0.23531207360047612,-0.161616277793801,0.11522991648063476,0.08078947972578389,-0.06467125190416492,-0.035773328344115715,True,True,0.7595123138807803,0.21929633148552022,2.4681013302830053,1.1174604703163853,0.2936930712063268,3.8048581320849104,0.014504923412774533,-0.0014973204813192808,1.0462458669462504,0.3174956507406827,2.9234879988230076,0.15094891047406991,0.0645655876042043,0.1986603566045612,-0.27395074631101524,0.1402241083718202,0.7962230904223061,8.881784197001252e-16
15,1908601667,-0.010767590942764655,-0.0019788784097017962,-0.008788712533062862,0.022398786811942198,0.015559233764252558,0.0778817181260071,0.22260589976235637,-0.2947918888074171,-0.17648504772102752,0.090818956065125,0.060764767879799425,-0.12791354292606533,-0.06178974688409777,True,True,0.7786848055617268,0.21971061272253947,2.6104943938751597,1.1794542745385375,0.2941532414206301,4.009659281136236,0.030484359644417217,0.016309157178397916,0.943582899576876,0.3184181242889718,3.730958352147592,0.13979161152633277,0.023221333372266482,0.15613298928015937,-0.2758101332558192,0.04333580092293937,0.9271613430050368,8.881784197001252e-16
16,726301638,0.0017294098715556457,0.0024119845046324693,-0.0006825746330768431,0.05398217303806982,0.03359602994378377,0.12260533578512803,0.283304892514932,-0.2669275829386561,-0.18544035693909794,0.20499384804574705,0.11303576180011025,-0.13220022469839066,-0.07399862480049564,True,True,0.7642388608767268,0.2269180997414572,2.5867754055745364,1.1710251329385573,0.2938790010658088,3.9847186382545505,0.023488381137021033,0.039949228836316665,1.1418260885626108,0.29018329302359874,2.945599434803432,0.1485445702553524,0.09981919685110478,0.16820389194033844,-0.33325271795532674,0.08331494109146886,0.8888868005633928,8.881784197001252e-16
17,2584016318,-0.04426778260208958,0.0036889162731431097,-0.04795669887523268,0.060220083574513895,0.04253607960211857,0.08146441925749058,0.23034933599222343,-0.28018991816273875,-0.18102776008414725,0.1330107594257234,0.08988605653005667,-0.1135075217148136,-0.059029393958092626,True,True,0.7667274719161288,0.23268813548139347,2.6415329380440027,1.2013136801404467,0.29476222207647584,4.075534753665844,-0.005141600936200255,0.03085892837604466,0.770307489889982,0.32262630525072616,3.48831984757265,0.15154960331616482,0.09589250713497849,0.18363388856262386,-0.3086850519595318,0.12239094705423537,0.8345534049228378,8.881784197001252e-16
18,4074852312,0.02771556484436181,-0.0023233684991184342,0.030038933343480196,-0.026927278014326764,-0.015095836974141099,0.09577299753206388,0.23315072641966067,-0.39544084514275235,-0.22010640901268266,0.14478680988993556,0.0810679917729187,-0.2660347633618619,-0.11969555508881377,True,True,0.7898853023764006,0.20988012400947215,2.593192644483249,1.165101847067912,0.29361153677540563,3.968174615560633,0.012400166268120683,0.027827839772544025,1.1256558200433082,0.3317401953249746,2.894446848977314,0.1191216245546522,0.06096295515582932,0.10392993344732254,-0.3175904884256236,-0.033575975267819524,0.944189334896739,8.881784197001252e-16
19,3205241267,-0.028111592495789466,-0.0013916019824268965,-0.026719990513362605,0.031235048738176004,0.018508707651415282,0.12149800508461432,0.267704229560699,-0.28789207092244523,-0.19200419335669552,0.18804621561113033,0.09984529236601528,-0.14565529043727857,-0.07825782226161253,True,True,0.7544740801346949,0.24439641734558484,2.7320714376735435,1.232921668941408,0.29289797532953776,4.209389523960537,0.05288668447463082,0.05605904283481509,1.5362534746769534,0.26296066962261166,2.634827571060871,0.14415599644089194,0.07895869231043878,0.17280347742268562,-0.34976010289409665,0.04615806327991967,0.9380992242973579,8.881784197001252e-16
20,1304481603,0.007981660629054798,-0.00021057681467194473,0.008192237443726767,0.030638568512215466,0.018193735513317412,0.08726892431919173,0.22334715055461862,-0.36556572525001546,-0.22724641411763777,0.19435260866314102,0.11625118603518031,-0.23319060143042958,-0.11702823011738252,True,True,0.7780347502087727,0.21191272169372508,2.528669482130902,1.1390595104685912,0.2935991502184634,3.879641714293218,-0.016425477302257532,-0.017855752791797155,1.1754855119719805,0.23422654101345675,2.407924401427909,0.12113179361325865,0.14863525421552612,0.12934512266466194,-0.3571981064879155,0.041914064005531215,0.9445808614781469,8.881784197001252e-16
