seed,method,mse,rmse,mae,coverage,coverage_percent,mean_width,median_width,mean_interval_score,lower_miss_rate,upper_miss_rate,elapsed_seconds,selected_residual_window
2023,M6_OOT_Adaptive_EnbPI,18.30384203223965,4.278298964803611,3.289212547051375,0.915,91.5,15.668338771903489,16.05167567889942,22.775353829265345,0.05,0.035,415.39957730000606,200.0
2024,M1_DistPred_ANN,9.655897938517738,3.1073940751886844,2.45888346933305,0.935,93.5,11.883399181272047,11.656636328903598,15.900206554506154,0.035,0.03,36.08783079998102,
2024,M2_DistPred_Minusformer,9.639747136220128,3.104794218015121,2.476361560190523,0.91,91.0,12.441174520160216,11.960995380778984,15.94155637447508,0.045,0.045,36.77617679996183,
2024,M3_Quantile_ANN,9.774928587555152,3.126488219641192,2.471982343215628,0.95,95.0,12.396179656888505,11.959176654507697,14.907389111497862,0.02,0.03,36.01492779998807,
2024,M4_Quantile_Minusformer,10.499866613368262,3.2403497671344463,2.5940679841183383,0.95,95.0,13.998971390034217,13.544347135996878,17.128597135374633,0.025,0.025,36.96525379997911,
2024,M5_SortBootstrap_ANN,8.963040575442456,2.9938337588186914,2.3378644935753186,0.69,69.0,6.0212893389809485,6.030539008309911,25.423629488952557,0.16,0.15,39.66247350000776,
2024,M6_OOT_Adaptive_EnbPI,9.912503554555094,3.148412862785803,2.489917142103282,0.945,94.5,12.17685432459576,12.335056180119151,15.226035084448945,0.035,0.02,429.5887213999522,200.0
2025,M1_DistPred_ANN,12.763971155369179,3.572670031694668,2.7758601391840845,0.885,88.5,11.37999197177703,10.67787582623463,20.80082558262893,0.03,0.085,15.924753800034523,
2025,M2_DistPred_Minusformer,13.808280804142946,3.7159495158226985,2.8840119965872772,0.885,88.5,12.81997525148208,11.557123640539846,19.952553592911755,0.06,0.055,17.71587180008646,
2025,M3_Quantile_ANN,12.812310369548708,3.57942877699064,2.8153200573159967,0.865,86.5,10.93094211690242,9.979174575514191,21.077640344173346,0.05,0.085,15.891107200004626,
2025,M4_Quantile_Minusformer,12.628965043084278,3.553725516002084,2.7579236550743724,0.545,54.50000000000001,4.784992454500148,4.51133599318119,42.38959465109621,0.205,0.25,16.650798900052905,
2025,M5_SortBootstrap_ANN,11.68097539923537,3.4177441974547143,2.6297844354395385,0.695,69.5,6.461982304753015,5.963660279607456,29.980240071306806,0.155,0.15,18.897270100016613,
2025,M6_OOT_Adaptive_EnbPI,13.28536817541024,3.644909899491377,2.7902333454938444,0.895,89.5,11.951594029323564,11.627216296054591,20.661074162199935,0.05,0.055,443.0213594000088,300.0
2026,M1_DistPred_ANN,8.42597085098362,2.90275228894641,2.3555569282021938,0.92,92.0,11.120228396339176,10.546147479239142,14.398343104762066,0.04,0.04,26.067482299986295,
2026,M2_DistPred_Minusformer,9.717403011950813,3.1172749336481074,2.461487151510919,0.905,90.5,11.20303645281291,10.920783486328457,15.884684202198686,0.055,0.04,26.544585199968424,
2026,M3_Quantile_ANN,8.1737512244486,2.858977303940799,2.3110947952307597,0.955,95.5,11.434270639700651,10.802794799319681,13.55406758124245,0.035,0.01,26.001672399987,
2026,M4_Quantile_Minusformer,8.214561175192163,2.8661055764211065,2.2972005488788376,0.405,40.5,3.01106832867658,2.9826144769250256,46.35389869005683,0.28,0.315,26.572682999947574,
2026,M5_SortBootstrap_ANN,7.897575513622636,2.8102625346438073,2.274270400090856,0.67,67.0,5.739366812074391,5.557602384460454,23.417446053206927,0.16,0.17,29.809364199987613,
2026,M6_OOT_Adaptive_EnbPI,9.669292361401533,3.1095485783955095,2.403816130693252,0.915,91.5,11.557203927706926,11.45104699545099,16.182948446265417,0.04,0.045,424.37686580000445,200.0
2027,M1_DistPred_ANN,14.24249875257275,3.7739235223534604,2.9105654995332304,0.915,91.5,14.215242407587857,13.736448256566302,19.83200115426671,0.065,0.02,21.81317479995778,
2027,M2_DistPred_Minusformer,16.637788505722618,4.07894453329812,3.1893093498269733,0.865,86.5,12.52655796077618,12.011623717819823,23.17549337031781,0.1,0.035,22.371128000027966,
2027,M3_Quantile_ANN,15.590037341547736,3.9484221331498657,3.1126454866422586,0.93,93.0,14.877484627631993,15.421718547835853,19.71446375957224,0.03,0.04,21.667302599933464,
2027,M4_Quantile_Minusformer,15.526336223213729,3.9403472211486297,3.1414317373240617,0.74,74.0,8.554105091388838,8.207253960542017,31.42226671945983,0.175,0.085,22.224551099992823,
2027,M5_SortBootstrap_ANN,13.205697389420063,3.6339644177427033,2.8456235366828126,0.685,68.5,7.033834111472161,6.965868293302972,30.8688476671633,0.17,0.145,24.831336900009774,
2027,M6_OOT_Adaptive_EnbPI,15.003282402559577,3.8734070793759305,3.057431255304506,0.87,87.0,12.745960355902321,13.303133900964157,20.751211248367973,0.08,0.05,433.8421588999918,100.0
2028,M1_DistPred_ANN,9.432666953609814,3.071264715652139,2.479353740168146,0.895,89.5,11.56984784760627,11.230003024053975,15.780626162509975,0.035,0.07,15.432042900007218,
2028,M2_DistPred_Minusformer,10.169252859581631,3.188926599904995,2.5227388261107326,0.84,84.0,9.74833527245673,9.178967127542357,19.949314141660793,0.07,0.09,16.02759450004669,
2028,M3_Quantile_ANN,9.483828526052076,3.0795825246374022,2.4571258102238374,0.905,90.5,11.566037844206416,10.857029231962485,14.778619729011858,0.04,0.055,15.38364749995526,
2028,M4_Quantile_Minusformer,11.058042518448278,3.3253635167374225,2.7017530925748474,0.52,52.0,4.615489197355908,4.235003665807431,41.23902257415602,0.285,0.195,16.158113300043624,
2028,M5_SortBootstrap_ANN,8.381455800485494,2.8950744032728233,2.3212049821441245,0.685,68.5,5.806382094706621,5.665942712582341,26.009915933277952,0.16,0.155,18.923832400003448,
2028,M6_OOT_Adaptive_EnbPI,9.933028918527352,3.1516708137950182,2.577066942588548,0.945,94.5,11.211229138518988,11.183353951685643,14.71871189838493,0.01,0.045,411.9531471999944,300.0
2029,M1_DistPred_ANN,8.942324445145003,2.9903719576576093,2.405848327666223,0.92,92.0,11.535598535970793,11.423945542236284,14.013887102691307,0.04,0.04,13.035733099968638,
2029,M2_DistPred_Minusformer,10.183737697723915,3.1911969067614607,2.5293742302264395,0.88,88.0,11.281232168511497,10.185003692868325,17.282059275046826,0.06,0.06,15.027917800005525,
2029,M3_Quantile_ANN,9.077587577252483,3.012903512768453,2.458069170445279,0.935,93.5,11.642981668547737,11.620888377428042,14.480127566148072,0.035,0.03,12.958562399959192,
2029,M4_Quantile_Minusformer,9.571051376846809,3.0937115859185726,2.4389083789173385,0.63,63.0,5.679583626822578,5.593974117803169,31.179726170440144,0.11,0.26,13.72767669998575,
2029,M5_SortBootstrap_ANN,7.830450077604134,2.798294137077826,2.2390032151938244,0.73,73.0,6.067506408789204,6.019177528742276,21.48213928600816,0.145,0.125,16.486191499978304,
2029,M6_OOT_Adaptive_EnbPI,9.35367321474743,3.0583775461423053,2.4660075740912935,0.965,96.5,12.310935338790745,12.578096825730128,13.715007165773862,0.02,0.015,389.3826732999878,200.0
2030,M1_DistPred_ANN,18.429708254527775,4.292983607530755,3.3506815008940354,0.915,91.5,14.338829188540897,14.169881048169666,23.209135046231772,0.045,0.04,13.184230500017293,
2030,M2_DistPred_Minusformer,17.732369845992295,4.210982052442434,3.159058322437981,0.915,91.5,16.45505455751749,14.753666590308173,25.699223795824942,0.04,0.045,13.769914100063033,
2030,M3_Quantile_ANN,18.592443602782865,4.311895592750695,3.3308985125952653,0.9,90.0,13.82855412979456,14.146366274769868,23.83565784875408,0.05,0.05,13.095754700014368,
2030,M4_Quantile_Minusformer,19.874558385475385,4.458089095730971,3.4063356495120587,0.54,54.0,6.74279380144397,6.008635577627304,70.23479557940007,0.275,0.185,13.868760400044266,
2030,M5_SortBootstrap_ANN,16.78237333269622,4.096629508839702,3.168042063186787,0.665,66.5,7.205860177789203,7.06943220194186,39.55458372740085,0.18,0.155,16.46746150002582,
2030,M6_OOT_Adaptive_EnbPI,20.653806779963276,4.544645946601702,3.3864590832630257,0.865,86.5,13.947702280732756,13.388820448320256,26.35459386285918,0.065,0.07,393.3193481999915,100.0
2031,M1_DistPred_ANN,13.414797186384686,3.6626216275210144,2.709160398796533,0.885,88.5,11.80450300770377,10.641106561794322,20.98133224799884,0.06,0.055,14.6195537999738,
2031,M2_DistPred_Minusformer,14.627261495136304,3.824560300889019,2.8712749007007643,0.85,85.0,11.119859101944913,10.150782338562324,24.21750286269759,0.065,0.085,15.885551400016993,
2031,M3_Quantile_ANN,13.144081486217909,3.6254767253725277,2.6877104266115124,0.9,90.0,11.687758279019345,10.894092824327668,20.483304876608763,0.045,0.055,14.595590999990236,
2031,M4_Quantile_Minusformer,13.027700507445951,3.6093906005648586,2.7292653101231084,0.405,40.5,3.2834454181420916,3.1802669792635925,58.08454315078486,0.285,0.31,15.043287700042129,
2031,M5_SortBootstrap_ANN,11.72422818657793,3.424066031281805,2.559404983258476,0.7,70.0,6.102232758780319,5.704623989644787,31.520823605399364,0.125,0.175,17.143536099989433,
2031,M6_OOT_Adaptive_EnbPI,13.150883528971935,3.6264146934640467,2.6670255709169766,0.865,86.5,11.014445165837317,10.225569372993492,20.39755181827751,0.045,0.09,377.5845799999661,100.0
2032,M1_DistPred_ANN,12.4784312882942,3.5324823125239,2.7804311062880824,0.88,88.0,10.361603154722857,10.097912063423117,17.909654518324594,0.07,0.05,94.97061370004667,
2032,M2_DistPred_Minusformer,11.295907402118537,3.3609384704452023,2.5745694812178432,0.905,90.5,11.25017242986362,10.643238217821256,18.405257834193446,0.055,0.04,95.30655270005809,
